id;nome;sintoma;precaucoes;socorro;obs
1;Cadeira;Global Corporate programming;payment;Phased Automotivo;Amazonas Moçambique Rústico
2;invoice;24/7 Corporate Roraima;Rodovia Configuration;Macio firewall programming;Agent Jogos Jóias
3;bordô Savings;Account;invoice Assistant line;Aço Carro Travessa;scale Cambridgeshire
4;Impressionante Rodovia;Gostoso up Acre;Engineer Dynamic;Re-contextualized roxo clear-thinking;input knowledge Vanuatu
5;Carro Fresco;toolset Paraíba Division;quantifying México protocol;Carro (E.M.U.-6) Facilitator;innovate archive Afghani
6;Strategist Bola vermelho;SCSI âmbar Impressionante;Developer;Alameda Macio;bordô Assistant Avon
7;Berkshire;Paraíba;Alameda Salada;matrix Identity invoice;sensor Trinidad
8;Optional alarm 6th;Buckinghamshire bluetooth Focused;redundant indexing;Executive;índigo
9;Áustria Paradigm;Identity application Developer;circuit;Customizable;port
10;Aço;recontextualize;Madeira Buckinghamshire Borders;Account generating access;Fresco África intelligence
