id;cep;logradouro;complemento_1;complemento_2;numero;bairro;localidade;uf;unidade;ibge;gia;latitude;longitude
1;customized;Forward Unidos;Peixe e-markets;back-end Forward;Eletrônico;Avenida Integration;ouro bandwidth-monitored;Buckinghamshire Ceará;Rústico quantifying;motivating Benin cro;repurpose circuit;91433;16905
2;sticky dep;marrom;Mato;Inteligente wireless petróleo;Quetzal am;motivating Vatu copy;Money backing Pequeno;interactive Rodovia Centralized;Facilitator;AccountXXX;Agent RSS Buckingham;68556;79506
3;Gibraltar ;Saúde Croácia Front-line;Granito Tocantins;Salada;connecting;Crianças;Malásia;Madeira;Secured Avon cinza;deXXXXXXXX;monitoring;10439;75264
4;Applicatio;Kwacha navigate Borracha;JSON deposit generating;Fresco Central pixel;Buckingham;transmitting expedite;Concreto ametista Metal;intermediate matrix;bandwidth applicatio;application Account ;Corporate Internal P;76550;80341
5;Rodovia pr;Bedfordshire;Pará;mão Lindo Computador;Inteligent;Micronésia contingency;bypassing compressing;RSS Polarised;attitude Loan;24/7 Analyst solid;web-enabled Camiseta;19971;82047
6;quantifyin;Account Engineer;5th e-services;index;eyeballs A;Eritreia;payment;Account protocol;maximize;Bulgária Dollar;1080p Nepal Creative;9859;45152
7;1080p Aven;Loan communities compress;unleash;fúchsia Consultant Mesa;Incrível L;Stand-alone;Plástico Market Pequeno;interface;Teclado innovate;dourado transmitting;web-enabled;76925;82039
8;Orchestrat;Esportes distributed;parsing Carro Account;Account Borders channels;Congelado;cross-media hack Avenida;Salada foreground;Plástico Roraima;cenoura Camiseta mod;Stand-alone;target Avenida;63761;69091
9;Solutions ;matrices;New Developer Refinado;Operations Web;interface ;Rua Palau Investor;SAS withdrawal out-of-the-box;Bahia Aço;Calças;ResponseXX;Avenida Incrível Ref;54319;78293
10;AlgodãoX;website;B2B;Licenciado connect;magenta De;Investment International;object-oriented revolutionary optical;infomediaries;ability Borracha ind;didactic Federal Imp;SalsichaXX;88665;12779
