id;codigo;nome;descricao
1;Travessa clicks-and-;azul;Quality-focused Brand multi-byte
2;Carro;Travessa multi-byte Sapatos;Algodão
3;Salsicha;Loan Timor-Leste;Goiás
4;Kong Account generat;Groelândia feed Visionary;Legacy FTP
5;engage client-driven;Account;capability Pizza alarm
6;Pequeno mobile;Concreto program;Alameda harness
7;Luvas Rua madeira;Ergonômico Berkshire Legacy;Sharable hack
8;HTTP;Communications Marginal Borders;Berkshire
9;Guiné vortals;Auto;monetize Auto
10;Travessa;redundant;Travessa TCP Sem
